20160105X24817 | Accident | GAA16CA095 | 12/30/2015 | Fort Worth, TX | United States | 32.814444 | -97.364722 | FTW | FORT WORTH MEACHAM INTL | Non-Fatal | Substantial | Airplane | N2135B | PIPER | PA 28-161 | No | 1 | Reciprocating | Part 91: General Aviation |  | Instructional |  |  |  |  | 2 | VMC | APPROACH | Probable Cause | 02/08/2016 | 
20160105X81755 | Incident | DCA16WA040 | 12/30/2015 | Calgary, Canada | Canada |  |  |  |  | Incident |  | Airplane |  | Boeing | 777-333ER |  | 2 |  |  |  |  |  |  |  |  |  |  |  | Foreign |  | 
20160105X25115 | Accident | CEN16LA079 | 12/30/2015 | Republic, MO | United States |  |  |  |  | Non-Fatal | Substantial | Airplane | N4643R | PIPER | 28-140 | No |  |  | Part 91: General Aviation |  | Personal |  |  | 1 | 1 |  | VMC |  | Preliminary | 01/07/2016 | 
20160104X82221 | Accident | CEN16LA076 | 12/30/2015 | Gary, IN | United States | 41.617223 | -87.414444 |  |  | Non-Fatal | Substantial | Airplane | N999VB | BEECH | 200 | No | 2 | Turbo Prop | Part 135: Air Taxi & Commuter | NSCH |  | COBB AVIATION SERVICES INCORPORATED |  |  |  | 9 | VMC | LANDING | Preliminary | 01/08/2016 | 
20160112X41357 | Incident | CEN16WA081 | 12/29/2015 | Cascais, Portugal | Portugal | 9.355000 | 38.725000 | LPCS | Cascais Aerodrome | Incident | Minor | Airplane |  | CESSNA | 172RG | No |  |  | Non-U.S., Non-Commercial |  | Instructional |  |  |  |  | 2 |  | LANDING | Foreign |  | 
20160104X11027 | Accident | ANC16LA011 | 12/29/2015 | Anchorage, AK | United States | 61.219167 | -149.902500 | MRI | MERRILL FIELD | Fatal(1) | Destroyed | Airplane | N914CP | CESSNA | 172 | No | 1 | Reciprocating | Part 91: General Aviation |  | Personal |  | 1 |  |  |  | VMC | MANEUVERING | Probable Cause | 06/29/2016 | 
20151229X61543 | Accident | GAA16CA092 | 12/28/2015 | Stevensville, MD | United States | 38.976389 | -76.330000 | W29 | BAY BRIDGE | Non-Fatal | Substantial | Airplane | N9083U | PIPER | PA 46 | No | 1 | Reciprocating | Part 91: General Aviation |  | Business |  |  |  |  | 2 | VMC | LANDING | Probable Cause | 04/05/2016 | 
20151230X04157 | Accident | CEN16WA072 | 12/28/2015 | Mascouche, Canada | Canada |  |  |  |  | Fatal(1) | Substantial | Airplane |  | MOONEY | M20K | No |  |  |  |  |  |  | 1 | 1 |  |  |  | LANDING | Foreign |  | 
20151229X60410 | Accident | GAA16CA091 | 12/27/2015 | Grass Valley, CA | United States | 39.224723 | -121.005556 | GOO | NEVADA COUNTY AIR PARK | Non-Fatal | Substantial | Airplane | N29533 | CESSNA | 177 | No | 1 | Reciprocating | Part 91: General Aviation |  | Personal |  |  |  |  | 3 | VMC | LANDING | Probable Cause | 03/14/2016 | 
20151228X25725 | Accident | CEN16LA069 | 12/27/2015 | Watertown, WI, WI | United States | 43.122500 | -88.656667 |  | N/A | Non-Fatal | Substantial | Airplane | N5PF | CIRRUS DESIGN CORP | SR22 | No | 1 | Reciprocating | Part 91: General Aviation |  | Personal |  |  | 1 |  |  | VMC | CRUISE | Preliminary | 01/05/2016 | 
20151228X02331 | Accident | WPR16LA043 | 12/26/2015 | Nogales, AZ | United States | 31.431111 | -110.841389 |  |  | Non-Fatal | Substantial | Airplane | N6811V | AEROSTAR ACFT CORP OF TEXAS | M20F | No | 1 | Reciprocating | Part 91: General Aviation |  | Personal |  |  | 4 |  |  | VMC | TAKEOFF | Preliminary | 01/11/2016 | 
20160105X44228 | Accident | GAA16CA096 | 12/26/2015 | Punta Gorda, FL | United States | 26.914722 | -81.996389 | PGD | PUNTA GORDA | Non-Fatal | Substantial | Airplane | N4776E | CESSNA | 172 | No | 1 | Reciprocating | Part 91: General Aviation |  | Instructional |  |  |  |  | 1 | VMC | TAXI | Probable Cause | 03/14/2016 | 
20151229X95542 | Accident | GAA16CA089 | 12/25/2015 | Fullerton, CA | United States | 33.872500 | -117.977223 | FUL | FULLERTON MUNI | Non-Fatal | Substantial | Airplane | N99Y | WACO | YMF | No | 1 | Reciprocating | Part 91: General Aviation |  | Personal |  |  |  |  | 2 | VMC | LANDING | Probable Cause | 03/14/2016 | 
20151224X50002 | Accident | ERA16LA078 | 12/24/2015 | Corinth, MS | United States | 34.902778 | -88.598055 | CRX | ROSCOE TURNER | Non-Fatal | Substantial | Airplane | N891CR | PIPER AIRCRAFT INC | PA-46 | No | 1 | Turbo Prop | Part 91: General Aviation |  | Personal |  |  | 3 | 1 |  | VMC |  | Preliminary | 01/07/2016 | 
20151230X03802 | Accident | CEN16WA071 | 12/24/2015 | Malaga, Spain | Spain |  |  |  | N/A | Fatal(2) | Destroyed | Airplane |  | SOCATA | TB9 | No |  | Reciprocating | Non-U.S., Non-Commercial |  | Personal |  | 2 |  |  |  | VMC | UNKNOWN | Foreign |  | 
20160112X62304 | Accident | CEN16LA082 | 12/23/2015 | Tahlequah, OK | United States | 35.930278 | -95.004444 | TQH | Tahlequah Municipal Airport | Non-Fatal | Substantial | Airplane | N4523A | BEECH | V35B | No | 1 | Reciprocating | Part 91: General Aviation |  | Business |  |  |  |  | 1 | VMC | CLIMB | Preliminary | 01/21/2016 | 
20151224X81125 | Accident | CEN16LA067 | 12/23/2015 | Telluride, CO | United States | 37.953333 | -107.909444 | KTEX | Telluride | Non-Fatal | Substantial | Airplane | XA-MEX | HAWKER | 400 | No |  |  | Part 129: Foreign | NSCH |  | Aerolineas Ejecutivas |  |  |  | 7 | IMC |  | Preliminary | 01/04/2016 | 
20160112X14914 | Accident | WPR16WA051 | 12/22/2015 | New Delhi, India | India |  |  |  |  | Fatal(10) | Substantial | Airplane |  | BEECH | 200 | No |  |  |  |  |  |  | 10 |  |  |  |  | TAKEOFF | Foreign |  | 
20151222X03629 | Accident | WPR16FA042 | 12/22/2015 | Castro Valley, CA | United States | 37.645000 | -121.976389 | OAK | METROPOLITAN OAKLAND INTL | Fatal(1) | Destroyed | Airplane | N323PA | PIPER | PA32R | No | 1 | Reciprocating | Part 91: General Aviation |  | Personal |  | 1 |  |  |  | IMC | APPROACH | Preliminary | 01/11/2016 | 
20151223X81847 | Accident | ERA16LA077 | 12/22/2015 | Myerstown, PA | United States | 40.352222 | -76.329723 | 9D4 | Deck Airport | Non-Fatal | Substantial | Airplane | N4314S | BEECH | A36 | No | 1 | Reciprocating | Part 91: General Aviation |  | Personal |  |  | 4 |  |  | IMC | TAKEOFF | Preliminary | 01/11/2016 | 
20160119X55159 | Accident | GAA16CA102 | 12/21/2015 | Girdwood, AK | United States | 60.940000 | -149.150000 | AQY | GIRDWOOD | Non-Fatal | Substantial | Airplane | N2791P | PIPER | PA 18A | No | 1 | Reciprocating | Part 91: General Aviation |  | Personal |  |  |  |  | 2 | VMC | MANEUVERING | Probable Cause | 04/05/2016 | 
20160114X51713 | Accident | GAA16CA099 | 12/21/2015 | Wallace, NC | United States | 34.789722 | -77.951111 | ACZ | HENDERSON FIELD | Non-Fatal | Substantial | Airplane | N141MD | DAVIS MICHAEL J | MD SPECIAL | Yes | 1 | Reciprocating | Part 91: General Aviation |  | Personal |  |  |  |  | 1 | VMC | CRUISE | Probable Cause | 04/05/2016 | 
20151224X90241 | Incident | DCA16WA037 | 12/21/2015 | Darwin, Australia | Australia |  |  |  |  | Incident |  | Airplane |  | BOEING | 787 | No |  |  |  |  |  |  |  |  |  | 302 |  | CRUISE | Foreign |  | 
20160114X10042 | Accident | CEN16LA084 | 12/21/2015 | Warrenton, MO | United States | 38.714722 | -91.173611 |  | N/A | Non-Fatal | Destroyed | Helicopter | N292B | SCHWEIZER | 269C | No | 1 | Reciprocating | Part 91: General Aviation |  | Personal |  |  |  | 1 |  | IMC | MANEUVERING | Preliminary | 05/26/2016 | 
20151223X04734 | Accident | GAA16CA088 | 12/20/2015 | Middle River, MD | United States | 39.323611 | -76.411667 | MTN | MARTIN STATE | Non-Fatal | Substantial | Airplane | N853WD | DAY WILLIAM L | MINICOUPE | Yes | 1 | Reciprocating | Part 91: General Aviation |  | Personal |  |  |  |  | 1 | VMC | TAKEOFF | Probable Cause | 03/14/2016 | 
