"id","basin","name","year","month","day","hour","latitude_id","latitude","longitude_id","longitude","wind_speed","central_pressure","wind_intensity"
"01 SI2005","SI","PHOEBE",2004,9,1,0,"south",-5.3,"east",90,35,1000,"(30,55]"
"01 SI2005","SI","PHOEBE",2004,9,1,6,"south",-5.5,"east",90.4,35,998,"(30,55]"
"01 SI2005","SI","PHOEBE",2004,9,1,12,"south",-6.2,"east",90.5,35,998,"(30,55]"
"01 SI2005","SI","PHOEBE",2004,9,1,18,"south",-7.1,"east",90.8,35,995,"(30,55]"
"01 SI2005","SI","PHOEBE",2004,9,2,0,"south",-8,"east",91.2,35,992,"(30,55]"
"01 SI2005","SI","PHOEBE",2004,9,2,6,"south",-8.3,"east",91.7,40,992,"(30,55]"
"01 SI2005","SI","PHOEBE",2004,9,2,12,"south",-8.9,"east",91.8,45,990,"(30,55]"
"01 SI2005","SI","PHOEBE",2004,9,2,18,"south",-9,"east",92.3,45,990,"(30,55]"
"01 SI2005","SI","PHOEBE",2004,9,3,0,"south",-9.1,"east",92.8,45,990,"(30,55]"
"01 SI2005","SI","PHOEBE",2004,9,3,6,"south",-9.4,"east",92.9,40,992,"(30,55]"
"01 SI2005","SI","PHOEBE",2004,9,3,12,"south",-9.5,"east",93,40,992,"(30,55]"
"01 SI2005","SI","PHOEBE",2004,9,3,18,"south",-9.5,"east",93.1,40,992,"(30,55]"
"01 SI2005","SI","PHOEBE",2004,9,4,0,"south",-9.6,"east",93.2,35,992,"(30,55]"
"01 SI2005","SI","PHOEBE",2004,9,4,6,"south",-9.8,"east",92.9,35,995,"(30,55]"
"01 SI2005","SI","PHOEBE",2004,9,4,12,"south",-9.7,"east",92.7,30,998,"(10,30]"
"01 SI2005","SI","PHOEBE",2004,9,4,18,"south",-9.6,"east",92.6,30,998,"(10,30]"
"01 SI2005","SI","PHOEBE",2004,9,5,0,"south",-9.5,"east",92.5,30,998,"(10,30]"
"01 SI2005","SI","PHOEBE",2004,9,5,6,"south",-9.7,"east",92.3,25,1000,"(10,30]"
"01 SI2005","SI","PHOEBE",2004,9,5,12,"south",-9.9,"east",91.7,25,1000,"(10,30]"
"03 SI2005","SI","AROLA",2004,11,6,12,"south",-5,"east",84.9,20,1007,"(10,30]"
"03 SI2005","SI","AROLA",2004,11,6,18,"south",-5.5,"east",84.5,25,1006,"(10,30]"
"03 SI2005","SI","AROLA",2004,11,7,0,"south",-6.1,"east",83.8,25,1005,"(10,30]"
"03 SI2005","SI","AROLA",2004,11,7,6,"south",-7.2,"east",83.3,25,1004,"(10,30]"
"03 SI2005","SI","AROLA",2004,11,7,12,"south",-7.9,"east",82.5,25,1002,"(10,30]"
