"ID","V1","V2","V3","V4","V5","V6","V1","V2","V3","V4","V7","V8","V1","V2","V3","V4","V9","V10","V1","V2","V3","V4","V8","V1","V2","V3","V4","V11","V12","V1","V2","V3","V4","V13","V1","V2","V3","V4","V1","V2","V3","V4","V14","V5","V1","V2","V3","V4","V15","V1","V2","V3","V4","acidity","ph","alcohol","res_sugar"
"NZ1",8,6,7,4,1,6,8,6,8,3,7,5,8,6,8,3,7,2,9,5,8,2,6,9,6,9,3,8,2,8,5,6,2,9,8,5,8,4,7,6,7,4,9,2,8,6,9,1,7,8,6,7,5,5.6,3.38,14,3
"NZ2",7,5,8,1,2,8,6,5,6,3,7,7,8,7,7,2,8,2,8,7,7,3,5,7,7,7,1,9,2,6,6,6,2,4,7,6,8,4,6,5,6,2,7,2,8,7,9,1,6,7,5,7,3,5.3,3.53,13.5,3.6
"NZ3",6,5,6,5,3,4,6,6,6,5,8,7,8,7,7,6,9,1,8,8,9,2,7,7,7,7,1,7,2,7,7,7,2,7,6,7,6,3,6,6,6,4,9,2,7,7,8,4,7,7,6,6,2,6.2,3.27,14,3
"NZ4",9,6,8,4,3,5,8,6,8,4,6,6,8,2,8,3,9,3,8,8,9,4,7,8,9,7,5,6,1,8,7,8,2,8,7,8,6,1,8,7,8,2,8,2,8,9,9,3,9,8,7,7,4,8.5,3.19,13.5,3.9
"FR1",2,2,2,8,7,3,2,3,1,7,4,3,3,4,3,6,4,6,4,2,2,4,3,4,4,4,2,4,4,3,2,2,7,2,4,2,3,6,3,3,4,4,4,4,3,4,4,5,4,2,3,1,7,5,3.6,12.5,1.5
"FR2",3,4,4,9,6,1,4,3,4,9,3,5,4,3,4,8,3,9,3,2,2,6,2,4,5,5,6,1,5,3,3,3,3,4,4,4,4,4,4,4,4,7,3,6,5,5,5,7,2,3,3,3,9,5.88,3,12.5,2
"FR3",5,3,5,4,8,3,3,3,2,7,4,4,5,4,5,2,3,6,4,4,4,6,4,6,5,7,2,3,1,4,2,3,3,3,4,3,4,4,5,3,5,3,3,5,5,5,5,6,3,4,2,5,8,4.5,3.33,13,0.8
"FR4",5,2,4,8,7,4,4,3,5,5,3,3,6,3,7,7,1,7,5,2,2,9,4,6,6,5,8,4,5,5,3,5,9,3,5,3,5,7,6,4,6,3,2,4,5,5,6,5,3,3,4,2,8,5.6,3.4,12,2.1
"CA1",8,6,8,4,4,7,8,6,9,5,5,6,8,5,9,1,5,2,7,5,6,3,2,8,6,8,2,5,4,7,7,7,1,4,8,4,9,4,8,6,5,4,5,4,8,7,8,4,7,8,6,7,4,7.6,3.3,13,2.8
"CA2",4,6,2,5,3,4,5,5,5,6,5,8,5,5,4,6,5,1,5,6,6,4,4,6,6,6,4,6,3,4,6,2,4,6,4,7,5,2,5,7,5,4,6,1,5,6,4,5,6,5,6,4,4,5.7,3.43,13.5,2.1
"CA3",8,4,8,1,3,3,8,4,8,3,7,7,8,3,7,3,5,4,7,3,6,1,6,7,4,8,4,5,1,7,4,8,2,3,8,5,7,3,7,4,8,2,6,2,8,4,7,4,5,7,4,8,5,6.2,3.3,12.5,2.5
"CA4",5,3,6,4,4,2,5,3,7,4,8,5,5,4,4,5,4,3,5,2,2,6,6,5,5,5,5,6,1,4,5,3,3,7,4,3,5,2,5,4,6,2,4,3,5,4,5,3,4,5,4,6,6,6.9,2.2,13,2
